date,crop_year,year,month,season,block_no,block_ns,treatment,plot,season_orig,subplot_point,variable,value
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,1,soils_na_ppm,NA
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,1,soils_na_ppm_base_satpct,NA
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,2,soils_no3_n_ppm,10.4
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,2,soils_nh4_n_ppm,2.7
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,2,soils_om_loi_pct,6.21
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,2,soils_p_ppm,97.9
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,2,soils_k_ppm,183.4
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,2,soils_ca_ppm,4198
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,2,soils_ph,6.9
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,2,soils_phb,7
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,2,soils_mg_ppm,510.2
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,2,soils_cec_meq_100g,26.23
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,2,soils_ca_ppm_base_satpct,80
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,2,soils_mg_ppm_base_satpct,16.21
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,2,soils_k_ppm_base_satpct,1.79
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,2,soils_h_ppm_base_satpct,2
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,2,soils_s_ppm,22.5
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,2,soils_zn_ppm,18.1
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,2,soils_b_ppm,1
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,2,soils_fe_ppm,153.7
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,2,soils_mn_ppm,37.3
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,2,soils_cu_ppm,3.7
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,2,soils_na_ppm,NA
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,2,soils_na_ppm_base_satpct,NA
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,3,soils_no3_n_ppm,11.8
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,3,soils_nh4_n_ppm,3.1
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,3,soils_om_loi_pct,5.38
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,3,soils_p_ppm,33.6
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,3,soils_k_ppm,224.4
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,3,soils_ca_ppm,3514
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,3,soils_ph,6.8
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,3,soils_phb,7
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,3,soils_mg_ppm,379.2
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,3,soils_cec_meq_100g,22.19
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,3,soils_ca_ppm_base_satpct,79.17
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,3,soils_mg_ppm_base_satpct,14.24
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,3,soils_k_ppm_base_satpct,2.59
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,3,soils_h_ppm_base_satpct,4
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,3,soils_s_ppm,19.6
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,3,soils_zn_ppm,7.6
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,3,soils_b_ppm,0.9
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,3,soils_fe_ppm,121.7
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,3,soils_mn_ppm,52.2
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,3,soils_cu_ppm,2.8
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,3,soils_na_ppm,NA
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress,1,fall,3,soils_na_ppm_base_satpct,NA
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,1,soils_no3_n_ppm,11.5
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,1,soils_nh4_n_ppm,4.2
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,1,soils_om_loi_pct,6.5
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,1,soils_p_ppm,93.6
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,1,soils_k_ppm,226.9
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,1,soils_ca_ppm,4439
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,1,soils_ph,7
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,1,soils_phb,7
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,1,soils_mg_ppm,505.8
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,1,soils_cec_meq_100g,26.99
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,1,soils_ca_ppm_base_satpct,82.23
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,1,soils_mg_ppm_base_satpct,15.61
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,1,soils_k_ppm_base_satpct,2.16
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,1,soils_h_ppm_base_satpct,0
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,1,soils_s_ppm,22.3
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,1,soils_zn_ppm,15.7
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,1,soils_b_ppm,1
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,1,soils_fe_ppm,174.2
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,1,soils_mn_ppm,31.9
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,1,soils_cu_ppm,3.8
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,1,soils_na_ppm,NA
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,1,soils_na_ppm_base_satpct,NA
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,2,soils_no3_n_ppm,9.2
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,2,soils_nh4_n_ppm,4
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,2,soils_om_loi_pct,6.51
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,2,soils_p_ppm,81.2
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,2,soils_k_ppm,208.8
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,2,soils_ca_ppm,4233
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,2,soils_ph,7.1
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,2,soils_phb,7
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,2,soils_mg_ppm,460.7
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,2,soils_cec_meq_100g,25.54
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,2,soils_ca_ppm_base_satpct,82.87
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,2,soils_mg_ppm_base_satpct,15.03
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,2,soils_k_ppm_base_satpct,2.1
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,2,soils_h_ppm_base_satpct,0
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,2,soils_s_ppm,22
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,2,soils_zn_ppm,11
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,2,soils_b_ppm,0.9
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,2,soils_fe_ppm,185.5
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,2,soils_mn_ppm,37.8
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,2,soils_cu_ppm,3.6
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,2,soils_na_ppm,NA
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,2,soils_na_ppm_base_satpct,NA
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,3,soils_no3_n_ppm,10.1
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,3,soils_nh4_n_ppm,3
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,3,soils_om_loi_pct,7.13
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,3,soils_p_ppm,109.2
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,3,soils_k_ppm,259.8
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,3,soils_ca_ppm,4298
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,3,soils_ph,7
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,3,soils_phb,7
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,3,soils_mg_ppm,486.7
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,3,soils_cec_meq_100g,26.21
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,3,soils_ca_ppm_base_satpct,81.99
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,3,soils_mg_ppm_base_satpct,15.47
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,3,soils_k_ppm_base_satpct,2.54
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,3,soils_h_ppm_base_satpct,0
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,3,soils_s_ppm,22.7
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,3,soils_zn_ppm,16.9
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,3,soils_b_ppm,1
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,3,soils_fe_ppm,154.1
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,3,soils_mn_ppm,37.2
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,3,soils_cu_ppm,3.4
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,3,soils_na_ppm,NA
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Pennycress_N,3,fall,3,soils_na_ppm_base_satpct,NA
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,1,soils_no3_n_ppm,11.1
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,1,soils_nh4_n_ppm,3.1
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,1,soils_om_loi_pct,6.03
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,1,soils_p_ppm,48
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,1,soils_k_ppm,215
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,1,soils_ca_ppm,3737
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,1,soils_ph,6.9
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,1,soils_phb,7
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,1,soils_mg_ppm,455
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,1,soils_cec_meq_100g,23.5
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,1,soils_ca_ppm_base_satpct,79.52
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,1,soils_mg_ppm_base_satpct,16.14
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,1,soils_k_ppm_base_satpct,2.35
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,1,soils_h_ppm_base_satpct,2
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,1,soils_s_ppm,19.6
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,1,soils_zn_ppm,7.9
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,1,soils_b_ppm,0.9
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,1,soils_fe_ppm,136.7
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,1,soils_mn_ppm,39.6
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,1,soils_cu_ppm,2.6
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,1,soils_na_ppm,NA
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,1,soils_na_ppm_base_satpct,NA
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,2,soils_no3_n_ppm,9.6
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,2,soils_nh4_n_ppm,2.5
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,2,soils_om_loi_pct,6.12
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,2,soils_p_ppm,88.3
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,2,soils_k_ppm,270.2
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,2,soils_ca_ppm,3636
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,2,soils_ph,6.8
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,2,soils_phb,7
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,2,soils_mg_ppm,392.1
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,2,soils_cec_meq_100g,23.06
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,2,soils_ca_ppm_base_satpct,78.83
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,2,soils_mg_ppm_base_satpct,14.17
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,2,soils_k_ppm_base_satpct,3
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,2,soils_h_ppm_base_satpct,4
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,2,soils_s_ppm,19.1
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,2,soils_zn_ppm,10
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,2,soils_b_ppm,0.8
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,2,soils_fe_ppm,169.6
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,2,soils_mn_ppm,35
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,2,soils_cu_ppm,2.5
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,2,soils_na_ppm,NA
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,2,soils_na_ppm_base_satpct,NA
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,3,soils_no3_n_ppm,13.3
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,3,soils_nh4_n_ppm,2.6
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,3,soils_om_loi_pct,6.63
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,3,soils_p_ppm,97.5
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,3,soils_k_ppm,298.8
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,3,soils_ca_ppm,3941
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,3,soils_ph,6.7
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,3,soils_phb,7
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,3,soils_mg_ppm,470.8
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,3,soils_cec_meq_100g,25.95
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,3,soils_ca_ppm_base_satpct,75.93
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,3,soils_mg_ppm_base_satpct,15.12
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,3,soils_k_ppm_base_satpct,2.95
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,3,soils_h_ppm_base_satpct,6
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,3,soils_s_ppm,22.3
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,3,soils_zn_ppm,11.1
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,3,soils_b_ppm,0.9
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,3,soils_fe_ppm,174.1
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,3,soils_mn_ppm,24.6
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,3,soils_cu_ppm,3
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,3,soils_na_ppm,NA
2019-10-15,2019_2020,2019,10,fall_winter,1,north,Reference,2,fall,3,soils_na_ppm_base_satpct,NA
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,1,soils_no3_n_ppm,7.2
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,1,soils_nh4_n_ppm,2.9
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,1,soils_om_loi_pct,5.49
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,1,soils_p_ppm,147.4
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,1,soils_k_ppm,239.2
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,1,soils_ca_ppm,4133
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,1,soils_ph,7.4
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,1,soils_phb,7
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,1,soils_mg_ppm,701.8
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,1,soils_cec_meq_100g,27.13
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,1,soils_ca_ppm_base_satpct,76.18
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,1,soils_mg_ppm_base_satpct,21.56
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,1,soils_k_ppm_base_satpct,2.26
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,1,soils_h_ppm_base_satpct,0
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,1,soils_s_ppm,20.9
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,1,soils_zn_ppm,21.4
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,1,soils_b_ppm,1.1
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,1,soils_fe_ppm,155.9
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,1,soils_mn_ppm,78.1
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,1,soils_cu_ppm,3.7
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,1,soils_na_ppm,NA
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,1,soils_na_ppm_base_satpct,NA
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,2,soils_no3_n_ppm,8.5
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,2,soils_nh4_n_ppm,3.3
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,2,soils_om_loi_pct,6.09
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,2,soils_p_ppm,86.5
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,2,soils_k_ppm,159.8
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,2,soils_ca_ppm,4427
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,2,soils_ph,7
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,2,soils_phb,7
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,2,soils_mg_ppm,566.8
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,2,soils_cec_meq_100g,27.27
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,2,soils_ca_ppm_base_satpct,81.17
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,2,soils_mg_ppm_base_satpct,17.32
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,2,soils_k_ppm_base_satpct,1.5
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,2,soils_h_ppm_base_satpct,0
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,2,soils_s_ppm,22.3
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,2,soils_zn_ppm,13.2
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,2,soils_b_ppm,1
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,2,soils_fe_ppm,147.5
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,2,soils_mn_ppm,38.4
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,2,soils_cu_ppm,3.1
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,2,soils_na_ppm,NA
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,2,soils_na_ppm_base_satpct,NA
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,3,soils_no3_n_ppm,11.8
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,3,soils_nh4_n_ppm,4.2
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,3,soils_om_loi_pct,5.6
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,3,soils_p_ppm,50.2
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,3,soils_k_ppm,173.1
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,3,soils_ca_ppm,4455
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,3,soils_ph,7.1
2019-10-15,2019_2020,2019,10,fall_winter,2,north,Pennycress,4,fall,3,soils_phb,7
