crop_cover,plot,subplot_point,date,jdate,year,month,treatment,block_no,block_ns,crop_year,crop_cash,nutrient,value,year_date
pennycress,1,1,2021-03-20,079,2021,3,Pennycress,1,north,2020_2021,corn,nh3_mgl,0.361,2021_079
pennycress,1,1,2021-03-20,079,2021,3,Pennycress,1,north,2020_2021,corn,drp_ugl,332,2021_079
pennycress,1,2,2021-03-20,079,2021,3,Pennycress,1,north,2020_2021,corn,no3_mgl,20.2,2021_079
pennycress,1,2,2021-03-20,079,2021,3,Pennycress,1,north,2020_2021,corn,nh3_mgl,0.0499,2021_079
pennycress,1,2,2021-03-20,079,2021,3,Pennycress,1,north,2020_2021,corn,drp_ugl,261,2021_079
pennycress,1,3,2021-03-20,079,2021,3,Pennycress,1,north,2020_2021,corn,no3_mgl,18.57,2021_079
pennycress,1,3,2021-03-20,079,2021,3,Pennycress,1,north,2020_2021,corn,nh3_mgl,0.1473,2021_079
pennycress,1,3,2021-03-20,079,2021,3,Pennycress,1,north,2020_2021,corn,drp_ugl,253.8,2021_079
pennycress,1,4,2021-03-20,079,2021,3,Pennycress,1,north,2020_2021,corn,no3_mgl,16.2,2021_079
pennycress,1,4,2021-03-20,079,2021,3,Pennycress,1,north,2020_2021,corn,nh3_mgl,0.0559,2021_079
pennycress,1,4,2021-03-20,079,2021,3,Pennycress,1,north,2020_2021,corn,drp_ugl,251,2021_079
pennycress,2,1,2021-03-20,079,2021,3,Reference,1,north,2020_2021,corn,no3_mgl,16.2,2021_079
pennycress,2,1,2021-03-20,079,2021,3,Reference,1,north,2020_2021,corn,nh3_mgl,0.0608,2021_079
pennycress,2,1,2021-03-20,079,2021,3,Reference,1,north,2020_2021,corn,drp_ugl,331,2021_079
pennycress,2,2,2021-03-20,079,2021,3,Reference,1,north,2020_2021,corn,no3_mgl,25.8,2021_079
pennycress,2,2,2021-03-20,079,2021,3,Reference,1,north,2020_2021,corn,nh3_mgl,0.0322,2021_079
pennycress,2,2,2021-03-20,079,2021,3,Reference,1,north,2020_2021,corn,drp_ugl,142,2021_079
pennycress,2,3,2021-03-20,079,2021,3,Reference,1,north,2020_2021,corn,no3_mgl,12.54,2021_079
pennycress,2,3,2021-03-20,079,2021,3,Reference,1,north,2020_2021,corn,nh3_mgl,0.0774,2021_079
pennycress,2,3,2021-03-20,079,2021,3,Reference,1,north,2020_2021,corn,drp_ugl,25.8,2021_079
pennycress,2,4,2021-03-20,079,2021,3,Reference,1,north,2020_2021,corn,no3_mgl,21.7,2021_079
pennycress,2,4,2021-03-20,079,2021,3,Reference,1,north,2020_2021,corn,nh3_mgl,0.0549,2021_079
pennycress,2,4,2021-03-20,079,2021,3,Reference,1,north,2020_2021,corn,drp_ugl,36.7,2021_079
pennycress,3,1,2021-03-20,079,2021,3,Pennycress_N,2,north,2020_2021,corn,no3_mgl,14.9,2021_079
pennycress,3,1,2021-03-20,079,2021,3,Pennycress_N,2,north,2020_2021,corn,nh3_mgl,0.0349,2021_079
pennycress,3,1,2021-03-20,079,2021,3,Pennycress_N,2,north,2020_2021,corn,drp_ugl,145,2021_079
pennycress,3,2,2021-03-20,079,2021,3,Pennycress_N,2,north,2020_2021,corn,no3_mgl,17.96,2021_079
pennycress,3,2,2021-03-20,079,2021,3,Pennycress_N,2,north,2020_2021,corn,nh3_mgl,0.057,2021_079
pennycress,3,2,2021-03-20,079,2021,3,Pennycress_N,2,north,2020_2021,corn,drp_ugl,202,2021_079
pennycress,3,4,2021-03-20,079,2021,3,Pennycress_N,2,north,2020_2021,corn,no3_mgl,5.59,2021_079
pennycress,3,4,2021-03-20,079,2021,3,Pennycress_N,2,north,2020_2021,corn,nh3_mgl,0.0212,2021_079
pennycress,3,4,2021-03-20,079,2021,3,Pennycress_N,2,north,2020_2021,corn,drp_ugl,158,2021_079
pennycress,4,1,2021-03-20,079,2021,3,Pennycress,1,mid,2020_2021,corn,no3_mgl,13.1,2021_079
pennycress,4,1,2021-03-20,079,2021,3,Pennycress,1,mid,2020_2021,corn,nh3_mgl,0.056,2021_079
pennycress,4,1,2021-03-20,079,2021,3,Pennycress,1,mid,2020_2021,corn,drp_ugl,446,2021_079
pennycress,4,2,2021-03-20,079,2021,3,Pennycress,1,mid,2020_2021,corn,no3_mgl,15.1,2021_079
pennycress,4,2,2021-03-20,079,2021,3,Pennycress,1,mid,2020_2021,corn,nh3_mgl,0.0149,2021_079
pennycress,4,2,2021-03-20,079,2021,3,Pennycress,1,mid,2020_2021,corn,drp_ugl,129,2021_079
pennycress,4,3,2021-03-20,079,2021,3,Pennycress,1,mid,2020_2021,corn,no3_mgl,20.2,2021_079
pennycress,4,3,2021-03-20,079,2021,3,Pennycress,1,mid,2020_2021,corn,nh3_mgl,0.1138,2021_079
pennycress,4,3,2021-03-20,079,2021,3,Pennycress,1,mid,2020_2021,corn,drp_ugl,254,2021_079
pennycress,5,1,2021-03-20,079,2021,3,Pennycress_N,2,mid,2020_2021,corn,no3_mgl,8.52,2021_079
pennycress,5,1,2021-03-20,079,2021,3,Pennycress_N,2,mid,2020_2021,corn,nh3_mgl,0.0214,2021_079
pennycress,5,1,2021-03-20,079,2021,3,Pennycress_N,2,mid,2020_2021,corn,drp_ugl,129,2021_079
pennycress,5,2,2021-03-20,079,2021,3,Pennycress_N,2,mid,2020_2021,corn,no3_mgl,21.4,2021_079
pennycress,5,2,2021-03-20,079,2021,3,Pennycress_N,2,mid,2020_2021,corn,nh3_mgl,0.0418,2021_079
pennycress,5,2,2021-03-20,079,2021,3,Pennycress_N,2,mid,2020_2021,corn,drp_ugl,110,2021_079
pennycress,6,2,2021-03-20,079,2021,3,Reference,2,mid,2020_2021,corn,no3_mgl,26.8,2021_079
pennycress,6,2,2021-03-20,079,2021,3,Reference,2,mid,2020_2021,corn,nh3_mgl,0.041,2021_079
pennycress,6,2,2021-03-20,079,2021,3,Reference,2,mid,2020_2021,corn,drp_ugl,228,2021_079
pennycress,6,3,2021-03-20,079,2021,3,Reference,2,mid,2020_2021,corn,no3_mgl,18.2,2021_079
pennycress,6,3,2021-03-20,079,2021,3,Reference,2,mid,2020_2021,corn,nh3_mgl,0.0495,2021_079
pennycress,6,3,2021-03-20,079,2021,3,Reference,2,mid,2020_2021,corn,drp_ugl,358,2021_079
pennycress,6,4,2021-03-20,079,2021,3,Reference,2,mid,2020_2021,corn,no3_mgl,26.2,2021_079
pennycress,6,4,2021-03-20,079,2021,3,Reference,2,mid,2020_2021,corn,nh3_mgl,0.057,2021_079
pennycress,6,4,2021-03-20,079,2021,3,Reference,2,mid,2020_2021,corn,drp_ugl,158,2021_079
pennycress,7,1,2021-03-20,079,2021,3,Reference,3,south,2020_2021,corn,no3_mgl,16.5,2021_079
pennycress,7,1,2021-03-20,079,2021,3,Reference,3,south,2020_2021,corn,nh3_mgl,0.261,2021_079
pennycress,7,1,2021-03-20,079,2021,3,Reference,3,south,2020_2021,corn,drp_ugl,106,2021_079
pennycress,7,2,2021-03-20,079,2021,3,Reference,3,south,2020_2021,corn,no3_mgl,16.4,2021_079
pennycress,7,2,2021-03-20,079,2021,3,Reference,3,south,2020_2021,corn,nh3_mgl,0.0141,2021_079
pennycress,7,2,2021-03-20,079,2021,3,Reference,3,south,2020_2021,corn,drp_ugl,2.22,2021_079
pennycress,7,3,2021-03-20,079,2021,3,Reference,3,south,2020_2021,corn,no3_mgl,14.4,2021_079
pennycress,7,3,2021-03-20,079,2021,3,Reference,3,south,2020_2021,corn,nh3_mgl,0.0679,2021_079
pennycress,7,3,2021-03-20,079,2021,3,Reference,3,south,2020_2021,corn,drp_ugl,27.8,2021_079
pennycress,8,1,2021-03-20,079,2021,3,Pennycress,3,south,2020_2021,corn,no3_mgl,7.98,2021_079
pennycress,8,1,2021-03-20,079,2021,3,Pennycress,3,south,2020_2021,corn,nh3_mgl,0.1821,2021_079
pennycress,8,1,2021-03-20,079,2021,3,Pennycress,3,south,2020_2021,corn,drp_ugl,31.8,2021_079
pennycress,8,2,2021-03-20,079,2021,3,Pennycress,3,south,2020_2021,corn,no3_mgl,18.4,2021_079
pennycress,8,2,2021-03-20,079,2021,3,Pennycress,3,south,2020_2021,corn,nh3_mgl,0.0449,2021_079
pennycress,8,2,2021-03-20,079,2021,3,Pennycress,3,south,2020_2021,corn,drp_ugl,12.1,2021_079
pennycress,8,4,2021-03-20,079,2021,3,Pennycress,3,south,2020_2021,corn,no3_mgl,9.23,2021_079
pennycress,8,4,2021-03-20,079,2021,3,Pennycress,3,south,2020_2021,corn,nh3_mgl,0.0243,2021_079
pennycress,8,4,2021-03-20,079,2021,3,Pennycress,3,south,2020_2021,corn,drp_ugl,16.4,2021_079
pennycress,9,1,2021-03-20,079,2021,3,Pennycress_N,3,south,2020_2021,corn,no3_mgl,13.5,2021_079
pennycress,9,1,2021-03-20,079,2021,3,Pennycress_N,3,south,2020_2021,corn,nh3_mgl,0.0949,2021_079
pennycress,9,1,2021-03-20,079,2021,3,Pennycress_N,3,south,2020_2021,corn,drp_ugl,42.5,2021_079
pennycress,9,2,2021-03-20,079,2021,3,Pennycress_N,3,south,2020_2021,corn,no3_mgl,14.2,2021_079
pennycress,9,2,2021-03-20,079,2021,3,Pennycress_N,3,south,2020_2021,corn,nh3_mgl,0.336,2021_079
pennycress,9,2,2021-03-20,079,2021,3,Pennycress_N,3,south,2020_2021,corn,drp_ugl,107,2021_079
pennycress,1,1,2021-03-27,086,2021,3,Pennycress,1,north,2020_2021,corn,no3_mgl,21.5,2021_086
pennycress,1,1,2021-03-27,086,2021,3,Pennycress,1,north,2020_2021,corn,nh3_mgl,0.441,2021_086
pennycress,1,1,2021-03-27,086,2021,3,Pennycress,1,north,2020_2021,corn,drp_ugl,444,2021_086
pennycress,1,2,2021-03-27,086,2021,3,Pennycress,1,north,2020_2021,corn,no3_mgl,20.3,2021_086
pennycress,1,2,2021-03-27,086,2021,3,Pennycress,1,north,2020_2021,corn,nh3_mgl,0.019,2021_086
pennycress,1,2,2021-03-27,086,2021,3,Pennycress,1,north,2020_2021,corn,drp_ugl,241,2021_086
pennycress,1,3,2021-03-27,086,2021,3,Pennycress,1,north,2020_2021,corn,no3_mgl,21.3,2021_086
pennycress,1,3,2021-03-27,086,2021,3,Pennycress,1,north,2020_2021,corn,nh3_mgl,0.00361,2021_086
pennycress,1,3,2021-03-27,086,2021,3,Pennycress,1,north,2020_2021,corn,drp_ugl,268,2021_086
pennycress,2,1,2021-03-27,086,2021,3,Reference,1,north,2020_2021,corn,no3_mgl,18.1,2021_086
pennycress,2,1,2021-03-27,086,2021,3,Reference,1,north,2020_2021,corn,nh3_mgl,0.0381,2021_086
pennycress,2,1,2021-03-27,086,2021,3,Reference,1,north,2020_2021,corn,drp_ugl,361,2021_086
pennycress,2,2,2021-03-27,086,2021,3,Reference,1,north,2020_2021,corn,no3_mgl,32.4,2021_086
pennycress,2,2,2021-03-27,086,2021,3,Reference,1,north,2020_2021,corn,nh3_mgl,0.0562,2021_086
pennycress,2,2,2021-03-27,086,2021,3,Reference,1,north,2020_2021,corn,drp_ugl,134.4,2021_086
pennycress,2,3,2021-03-27,086,2021,3,Reference,1,north,2020_2021,corn,no3_mgl,13.6,2021_086
pennycress,2,3,2021-03-27,086,2021,3,Reference,1,north,2020_2021,corn,nh3_mgl,0.122,2021_086
pennycress,2,3,2021-03-27,086,2021,3,Reference,1,north,2020_2021,corn,drp_ugl,42.8,2021_086
pennycress,2,4,2021-03-27,086,2021,3,Reference,1,north,2020_2021,corn,no3_mgl,26.6,2021_086
pennycress,2,4,2021-03-27,086,2021,3,Reference,1,north,2020_2021,corn,nh3_mgl,0.1126,2021_086
pennycress,2,4,2021-03-27,086,2021,3,Reference,1,north,2020_2021,corn,drp_ugl,37.8,2021_086
pennycress,3,1,2021-03-27,086,2021,3,Pennycress_N,2,north,2020_2021,corn,no3_mgl,14.5,2021_086
pennycress,3,1,2021-03-27,086,2021,3,Pennycress_N,2,north,2020_2021,corn,nh3_mgl,0.0357,2021_086
pennycress,3,1,2021-03-27,086,2021,3,Pennycress_N,2,north,2020_2021,corn,drp_ugl,166,2021_086
pennycress,3,2,2021-03-27,086,2021,3,Pennycress_N,2,north,2020_2021,corn,no3_mgl,6.16,2021_086
pennycress,3,2,2021-03-27,086,2021,3,Pennycress_N,2,north,2020_2021,corn,nh3_mgl,0.00353,2021_086
pennycress,3,2,2021-03-27,086,2021,3,Pennycress_N,2,north,2020_2021,corn,drp_ugl,232,2021_086
pennycress,3,3,2021-03-27,086,2021,3,Pennycress_N,2,north,2020_2021,corn,no3_mgl,13.3,2021_086
pennycress,3,3,2021-03-27,086,2021,3,Pennycress_N,2,north,2020_2021,corn,nh3_mgl,0.028,2021_086
pennycress,3,3,2021-03-27,086,2021,3,Pennycress_N,2,north,2020_2021,corn,drp_ugl,92.7,2021_086
pennycress,4,1,2021-03-27,086,2021,3,Pennycress,1,mid,2020_2021,corn,no3_mgl,14.1,2021_086
pennycress,4,1,2021-03-27,086,2021,3,Pennycress,1,mid,2020_2021,corn,nh3_mgl,0.056,2021_086
pennycress,4,1,2021-03-27,086,2021,3,Pennycress,1,mid,2020_2021,corn,drp_ugl,411,2021_086
pennycress,4,2,2021-03-27,086,2021,3,Pennycress,1,mid,2020_2021,corn,no3_mgl,38.6,2021_086
pennycress,4,2,2021-03-27,086,2021,3,Pennycress,1,mid,2020_2021,corn,nh3_mgl,0.00707,2021_086
pennycress,4,2,2021-03-27,086,2021,3,Pennycress,1,mid,2020_2021,corn,drp_ugl,307,2021_086
pennycress,4,3,2021-03-27,086,2021,3,Pennycress,1,mid,2020_2021,corn,no3_mgl,21.9,2021_086
pennycress,4,3,2021-03-27,086,2021,3,Pennycress,1,mid,2020_2021,corn,nh3_mgl,0.0143,2021_086
pennycress,4,3,2021-03-27,086,2021,3,Pennycress,1,mid,2020_2021,corn,drp_ugl,273,2021_086
pennycress,5,1,2021-03-27,086,2021,3,Pennycress_N,2,mid,2020_2021,corn,no3_mgl,19.62,2021_086
pennycress,5,1,2021-03-27,086,2021,3,Pennycress_N,2,mid,2020_2021,corn,nh3_mgl,0.02364,2021_086
pennycress,5,1,2021-03-27,086,2021,3,Pennycress_N,2,mid,2020_2021,corn,drp_ugl,169.2,2021_086
pennycress,6,2,2021-03-27,086,2021,3,Reference,2,mid,2020_2021,corn,no3_mgl,11.98,2021_086
pennycress,6,2,2021-03-27,086,2021,3,Reference,2,mid,2020_2021,corn,nh3_mgl,0.0254,2021_086
pennycress,6,2,2021-03-27,086,2021,3,Reference,2,mid,2020_2021,corn,drp_ugl,71.2,2021_086
pennycress,6,3,2021-03-27,086,2021,3,Reference,2,mid,2020_2021,corn,no3_mgl,14.2,2021_086
pennycress,6,3,2021-03-27,086,2021,3,Reference,2,mid,2020_2021,corn,nh3_mgl,0.00506,2021_086
pennycress,6,3,2021-03-27,086,2021,3,Reference,2,mid,2020_2021,corn,drp_ugl,399,2021_086
pennycress,7,1,2021-03-27,086,2021,3,Reference,3,south,2020_2021,corn,no3_mgl,19.6,2021_086
pennycress,7,1,2021-03-27,086,2021,3,Reference,3,south,2020_2021,corn,nh3_mgl,0.201,2021_086
pennycress,7,1,2021-03-27,086,2021,3,Reference,3,south,2020_2021,corn,drp_ugl,137,2021_086
pennycress,7,2,2021-03-27,086,2021,3,Reference,3,south,2020_2021,corn,no3_mgl,15.46,2021_086
pennycress,7,2,2021-03-27,086,2021,3,Reference,3,south,2020_2021,corn,nh3_mgl,0.0812,2021_086
pennycress,7,2,2021-03-27,086,2021,3,Reference,3,south,2020_2021,corn,drp_ugl,20.4,2021_086
pennycress,7,3,2021-03-27,086,2021,3,Reference,3,south,2020_2021,corn,no3_mgl,19.7,2021_086
pennycress,7,3,2021-03-27,086,2021,3,Reference,3,south,2020_2021,corn,nh3_mgl,0.00984,2021_086
pennycress,7,3,2021-03-27,086,2021,3,Reference,3,south,2020_2021,corn,drp_ugl,2.35,2021_086
pennycress,8,1,2021-03-27,086,2021,3,Pennycress,3,south,2020_2021,corn,no3_mgl,12.18,2021_086
pennycress,8,1,2021-03-27,086,2021,3,Pennycress,3,south,2020_2021,corn,nh3_mgl,0.1338,2021_086
pennycress,8,1,2021-03-27,086,2021,3,Pennycress,3,south,2020_2021,corn,drp_ugl,18.51,2021_086
pennycress,8,2,2021-03-27,086,2021,3,Pennycress,3,south,2020_2021,corn,no3_mgl,20.6,2021_086
pennycress,8,2,2021-03-27,086,2021,3,Pennycress,3,south,2020_2021,corn,nh3_mgl,0.0113,2021_086
pennycress,8,2,2021-03-27,086,2021,3,Pennycress,3,south,2020_2021,corn,drp_ugl,4.99,2021_086
pennycress,8,3,2021-03-27,086,2021,3,Pennycress,3,south,2020_2021,corn,no3_mgl,11.54,2021_086
pennycress,8,3,2021-03-27,086,2021,3,Pennycress,3,south,2020_2021,corn,nh3_mgl,0.0456,2021_086
pennycress,8,3,2021-03-27,086,2021,3,Pennycress,3,south,2020_2021,corn,drp_ugl,13.02,2021_086
pennycress,8,4,2021-03-27,086,2021,3,Pennycress,3,south,2020_2021,corn,no3_mgl,12.9,2021_086
pennycress,8,4,2021-03-27,086,2021,3,Pennycress,3,south,2020_2021,corn,nh3_mgl,0.00459,2021_086
pennycress,8,4,2021-03-27,086,2021,3,Pennycress,3,south,2020_2021,corn,drp_ugl,5.46,2021_086
pennycress,9,1,2021-03-27,086,2021,3,Pennycress_N,3,south,2020_2021,corn,no3_mgl,16.6,2021_086
pennycress,9,1,2021-03-27,086,2021,3,Pennycress_N,3,south,2020_2021,corn,nh3_mgl,0.00856,2021_086
pennycress,9,1,2021-03-27,086,2021,3,Pennycress_N,3,south,2020_2021,corn,drp_ugl,9.32,2021_086
pennycress,9,2,2021-03-27,086,2021,3,Pennycress_N,3,south,2020_2021,corn,no3_mgl,18.92,2021_086
pennycress,9,2,2021-03-27,086,2021,3,Pennycress_N,3,south,2020_2021,corn,nh3_mgl,0.0464,2021_086
pennycress,9,2,2021-03-27,086,2021,3,Pennycress_N,3,south,2020_2021,corn,drp_ugl,15.14,2021_086
pennycress,1,1,2021-04-22,112,2021,4,Pennycress,1,north,2020_2021,corn,no3_mgl,26.9,2021_112
pennycress,1,1,2021-04-22,112,2021,4,Pennycress,1,north,2020_2021,corn,nh3_mgl,0.0163,2021_112
pennycress,1,1,2021-04-22,112,2021,4,Pennycress,1,north,2020_2021,corn,drp_ugl,479,2021_112
pennycress,1,2,2021-04-22,112,2021,4,Pennycress,1,north,2020_2021,corn,no3_mgl,20.7,2021_112
pennycress,1,2,2021-04-22,112,2021,4,Pennycress,1,north,2020_2021,corn,nh3_mgl,0.00526,2021_112
pennycress,1,2,2021-04-22,112,2021,4,Pennycress,1,north,2020_2021,corn,drp_ugl,192,2021_112
pennycress,1,3,2021-04-22,112,2021,4,Pennycress,1,north,2020_2021,corn,no3_mgl,13.7,2021_112
pennycress,1,3,2021-04-22,112,2021,4,Pennycress,1,north,2020_2021,corn,nh3_mgl,0.00328,2021_112
pennycress,1,3,2021-04-22,112,2021,4,Pennycress,1,north,2020_2021,corn,drp_ugl,468,2021_112
pennycress,1,4,2021-04-22,112,2021,4,Pennycress,1,north,2020_2021,corn,no3_mgl,4.02,2021_112
pennycress,1,4,2021-04-22,112,2021,4,Pennycress,1,north,2020_2021,corn,nh3_mgl,0.00816,2021_112
pennycress,1,4,2021-04-22,112,2021,4,Pennycress,1,north,2020_2021,corn,drp_ugl,216,2021_112
pennycress,2,1,2021-04-22,112,2021,4,Reference,1,north,2020_2021,corn,no3_mgl,21.9,2021_112
pennycress,2,1,2021-04-22,112,2021,4,Reference,1,north,2020_2021,corn,nh3_mgl,0.00505,2021_112
pennycress,2,1,2021-04-22,112,2021,4,Reference,1,north,2020_2021,corn,drp_ugl,302,2021_112
pennycress,2,2,2021-04-22,112,2021,4,Reference,1,north,2020_2021,corn,no3_mgl,33.9,2021_112
pennycress,2,2,2021-04-22,112,2021,4,Reference,1,north,2020_2021,corn,nh3_mgl,0.0285,2021_112
pennycress,2,2,2021-04-22,112,2021,4,Reference,1,north,2020_2021,corn,drp_ugl,105,2021_112
pennycress,2,4,2021-04-22,112,2021,4,Reference,1,north,2020_2021,corn,no3_mgl,26.61,2021_112
pennycress,2,4,2021-04-22,112,2021,4,Reference,1,north,2020_2021,corn,nh3_mgl,0.315,2021_112
pennycress,2,4,2021-04-22,112,2021,4,Reference,1,north,2020_2021,corn,drp_ugl,52.8,2021_112
pennycress,3,1,2021-04-22,112,2021,4,Pennycress_N,2,north,2020_2021,corn,no3_mgl,1.28,2021_112
pennycress,3,1,2021-04-22,112,2021,4,Pennycress_N,2,north,2020_2021,corn,nh3_mgl,0.3128,2021_112
pennycress,3,1,2021-04-22,112,2021,4,Pennycress_N,2,north,2020_2021,corn,drp_ugl,169.2,2021_112
pennycress,3,3,2021-04-22,112,2021,4,Pennycress_N,2,north,2020_2021,corn,no3_mgl,0.2049,2021_112
pennycress,3,3,2021-04-22,112,2021,4,Pennycress_N,2,north,2020_2021,corn,nh3_mgl,0.1134,2021_112
pennycress,3,3,2021-04-22,112,2021,4,Pennycress_N,2,north,2020_2021,corn,drp_ugl,84.9,2021_112
pennycress,3,4,2021-04-22,112,2021,4,Pennycress_N,2,north,2020_2021,corn,no3_mgl,0.483,2021_112
pennycress,3,4,2021-04-22,112,2021,4,Pennycress_N,2,north,2020_2021,corn,nh3_mgl,0.1383,2021_112
pennycress,3,4,2021-04-22,112,2021,4,Pennycress_N,2,north,2020_2021,corn,drp_ugl,345,2021_112
pennycress,4,1,2021-04-22,112,2021,4,Pennycress,1,mid,2020_2021,corn,no3_mgl,6.24,2021_112
pennycress,4,1,2021-04-22,112,2021,4,Pennycress,1,mid,2020_2021,corn,nh3_mgl,0.1686,2021_112
pennycress,4,1,2021-04-22,112,2021,4,Pennycress,1,mid,2020_2021,corn,drp_ugl,516,2021_112
pennycress,4,3,2021-04-22,112,2021,4,Pennycress,1,mid,2020_2021,corn,no3_mgl,1.718,2021_112
pennycress,4,3,2021-04-22,112,2021,4,Pennycress,1,mid,2020_2021,corn,nh3_mgl,0.202,2021_112
pennycress,4,3,2021-04-22,112,2021,4,Pennycress,1,mid,2020_2021,corn,drp_ugl,572,2021_112
pennycress,5,3,2021-04-22,112,2021,4,Pennycress_N,2,mid,2020_2021,corn,no3_mgl,44.7,2021_112
pennycress,5,3,2021-04-22,112,2021,4,Pennycress_N,2,mid,2020_2021,corn,nh3_mgl,0.2991,2021_112
pennycress,5,3,2021-04-22,112,2021,4,Pennycress_N,2,mid,2020_2021,corn,drp_ugl,75,2021_112
pennycress,6,1,2021-04-22,112,2021,4,Reference,2,mid,2020_2021,corn,no3_mgl,14.68,2021_112
pennycress,6,1,2021-04-22,112,2021,4,Reference,2,mid,2020_2021,corn,nh3_mgl,0.0424,2021_112
pennycress,6,1,2021-04-22,112,2021,4,Reference,2,mid,2020_2021,corn,drp_ugl,90.6,2021_112
pennycress,6,3,2021-04-22,112,2021,4,Reference,2,mid,2020_2021,corn,no3_mgl,26.4,2021_112
pennycress,6,3,2021-04-22,112,2021,4,Reference,2,mid,2020_2021,corn,nh3_mgl,0.095,2021_112
pennycress,6,3,2021-04-22,112,2021,4,Reference,2,mid,2020_2021,corn,drp_ugl,414,2021_112
pennycress,7,1,2021-04-22,112,2021,4,Reference,3,south,2020_2021,corn,no3_mgl,18.2,2021_112
pennycress,7,1,2021-04-22,112,2021,4,Reference,3,south,2020_2021,corn,nh3_mgl,0.0554,2021_112
pennycress,7,1,2021-04-22,112,2021,4,Reference,3,south,2020_2021,corn,drp_ugl,62.3,2021_112
pennycress,7,2,2021-04-22,112,2021,4,Reference,3,south,2020_2021,corn,no3_mgl,20.4,2021_112
