PRISM Time Series Data
Location:  Lat: 40.6765   Lon: -88.7846   Elev: 222m
"Climate variables: ppt,tmin,tmean,tmax,tdmean,vpdmin,vpdmax"
Spatial resolution: 4km
Period: 2019-01-01 - 2022-12-31
Dataset: AN81d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2023-Jan-23
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C),tdmean (degrees C),vpdmin (hPa),vpdmax (hPa)
2019-01-31,0.00,-29.1,-24.7,-20.3,-30.2,0.19,0.62
2019-02-01,2.37,-26.0,-19.1,-12.3,-20.3,0.18,0.72
2019-02-02,0.00,-15.8,-8.4,-1.0,-11.1,0.17,2.33
2019-02-03,0.00,-2.4,2.1,6.6,2.1,0.05,1.10
2019-02-04,0.00,3.8,6.7,9.6,6.1,0.02,1.38
2019-02-05,0.06,-5.3,2.8,10.9,1.7,0.06,0.91
2019-02-06,11.96,-4.9,-1.9,1.1,-1.9,0.00,0.96
2019-02-07,8.54,0.2,1.5,2.8,1.1,0.01,0.60
2019-02-08,0.59,-13.6,-4.5,4.5,-6.5,0.00,0.86
2019-02-09,0.00,-14.4,-11.2,-7.9,-16.0,0.41,1.44
2019-02-10,0.00,-14.2,-8.6,-2.9,-10.7,0.39,2.40
2019-02-11,1.49,-4.6,-2.5,-0.4,-2.9,0.02,1.42
2019-02-12,17.16,-2.1,-0.6,0.8,-0.6,0.02,0.60
2019-02-13,0.55,-10.3,-4.5,1.2,-5.3,0.04,1.12
2019-02-14,0.00,-10.0,-3.5,3.0,-5.3,0.46,1.84
2019-02-15,0.00,-11.5,-0.5,10.4,-1.6,0.36,4.38
2019-02-16,0.00,-11.6,-8.9,-6.3,-12.1,0.37,1.24
2019-02-17,2.00,-11.3,-5.9,-0.5,-6.6,0.18,1.79
2019-02-18,1.06,-6.9,-4.2,-1.4,-4.2,0.03,0.77
2019-02-19,0.00,-10.2,-5.7,-1.2,-7.9,0.19,1.59
2019-02-20,1.86,-10.0,-4.5,1.0,-4.6,0.06,2.16
2019-02-21,0.36,-1.8,0.8,3.4,-0.5,0.05,1.64
2019-02-22,0.00,-4.7,-1.2,2.3,-4.4,0.35,2.66
2019-02-23,0.00,-4.2,0.8,5.8,-1.4,0.49,3.33
2019-02-24,15.79,-0.2,5.0,10.2,3.9,0.01,3.06
2019-02-25,0.00,-12.1,-6.0,0.1,-9.6,0.58,1.77
2019-02-26,0.00,-11.9,-7.1,-2.2,-12.2,0.69,3.01
2019-02-27,0.00,-6.5,-2.8,0.9,-6.0,0.70,2.47
2019-02-28,0.00,-9.7,-4.9,-0.1,-7.8,0.49,1.86
2019-03-01,0.00,-9.5,-5.5,-1.5,-8.9,0.32,2.46
2019-03-02,0.00,-6.0,-0.6,4.8,-4.2,0.29,4.38
2019-03-03,0.00,-5.4,-2.3,0.7,-5.7,0.52,2.57
2019-03-04,0.76,-18.8,-11.6,-4.4,-15.8,0.35,1.96
2019-03-05,0.00,-18.7,-14.0,-9.3,-17.8,0.37,1.38
2019-03-06,0.00,-13.8,-9.3,-4.8,-15.2,0.39,2.53
2019-03-07,0.00,-12.2,-5.9,0.4,-10.4,0.43,3.52
2019-03-08,0.36,-7.4,-4.0,-0.6,-6.5,0.15,2.74
2019-03-09,0.00,-2.2,2.3,6.8,-1.1,0.25,4.23
2019-03-10,31.93,-0.1,4.2,8.5,2.3,0.00,1.80
2019-03-11,0.00,-1.7,2.5,6.8,-2.4,0.87,3.75
2019-03-12,0.00,-3.7,1.8,7.3,-3.4,0.16,5.23
2019-03-13,2.48,-2.2,3.3,8.7,0.9,0.11,4.92
2019-03-14,8.33,5.4,10.3,15.2,10.0,0.10,4.29
2019-03-15,6.26,1.5,9.8,18.1,5.1,0.22,7.49
2019-03-16,0.00,-2.6,1.9,6.3,-2.5,0.30,4.70
2019-03-17,3.27,-2.5,2.4,7.4,-3.0,0.17,5.96
2019-03-18,0.39,-3.0,1.8,6.6,-2.8,0.13,5.25
2019-03-19,0.00,-3.4,2.5,8.3,-2.6,0.19,5.71
2019-03-20,3.62,-2.6,4.6,11.8,-0.7,0.24,8.50
2019-03-21,3.32,1.8,5.8,9.9,3.7,0.09,3.22
2019-03-22,0.00,1.6,5.3,8.9,1.2,0.52,4.60
2019-03-23,0.00,-3.0,4.1,11.1,-1.7,0.30,7.94
2019-03-24,0.32,-1.9,5.2,12.4,-0.5,0.30,9.21
2019-03-25,5.15,1.9,6.4,10.8,5.2,0.15,3.74
2019-03-26,0.00,-5.5,2.1,9.6,-3.9,0.51,6.74
2019-03-27,0.00,-4.1,2.7,9.5,-7.4,0.73,8.94
2019-03-28,4.96,-0.0,7.9,15.7,1.4,1.31,11.28
2019-03-29,0.70,6.9,13.8,20.8,8.5,0.47,12.83
2019-03-30,31.61,4.1,8.9,13.7,6.1,0.06,6.15
2019-03-31,1.31,-4.2,0.7,5.7,-2.2,0.26,3.10
2019-04-01,0.00,-3.9,0.5,4.8,-7.0,0.44,5.17
2019-04-02,0.00,-1.4,4.0,9.3,-1.2,0.91,5.85
2019-04-03,0.00,1.1,7.3,13.4,0.7,0.94,9.27
2019-04-04,0.00,1.5,8.0,14.5,2.2,0.48,10.09
2019-04-05,7.94,5.1,8.4,11.6,6.4,0.13,4.37
2019-04-06,0.00,4.1,8.7,13.2,8.0,0.03,3.13
2019-04-07,2.28,5.2,12.6,20.0,9.9,0.05,10.53
2019-04-08,2.03,10.6,17.0,23.4,13.3,0.14,12.58
2019-04-09,0.00,7.3,15.5,23.7,7.6,0.39,20.51
2019-04-10,5.64,3.5,12.2,20.9,2.0,0.95,19.07
2019-04-11,1.92,3.5,7.6,11.7,3.8,0.65,4.40
2019-04-12,5.77,4.3,13.6,22.9,7.7,0.99,14.35
2019-04-13,0.00,0.3,6.6,12.8,-2.1,1.19,9.65
2019-04-14,8.50,0.7,7.2,13.6,-1.1,0.20,10.66
2019-04-15,8.65,-1.8,0.1,2.0,-0.3,0.06,0.91
2019-04-16,0.00,-0.5,6.2,12.8,2.9,0.43,7.30
2019-04-17,0.00,9.8,17.0,24.2,10.8,0.96,15.51
2019-04-18,8.56,11.1,18.4,25.8,13.4,0.06,19.56
2019-04-19,1.91,5.6,9.2,12.7,6.2,0.31,2.53
2019-04-20,0.00,2.7,8.3,13.9,-0.7,1.57,10.40
2019-04-21,0.00,3.5,11.5,19.5,-2.3,1.63,18.68
2019-04-22,0.00,8.1,16.5,25.0,5.0,3.20,22.68
2019-04-23,1.96,11.2,18.9,26.6,11.7,1.01,20.59
2019-04-24,0.00,6.0,10.6,15.2,8.0,0.32,5.90
2019-04-25,0.00,6.9,11.3,15.8,5.6,0.59,10.52
2019-04-26,2.67,7.6,13.4,19.3,9.7,0.16,9.52
2019-04-27,0.00,6.3,12.3,18.2,1.0,1.77,15.30
2019-04-28,4.13,0.3,5.5,10.7,2.7,0.17,5.95
2019-04-29,14.63,1.7,8.1,14.6,2.8,0.32,11.11
2019-04-30,18.00,7.4,11.4,15.5,9.5,0.13,4.23
2019-05-01,41.44,7.8,11.6,15.4,10.3,0.01,2.22
2019-05-02,7.91,11.3,16.3,21.3,13.8,0.06,8.92
2019-05-03,13.91,7.6,12.7,17.7,10.9,0.05,1.34
2019-05-04,0.00,5.8,10.7,15.7,7.4,0.19,7.01
2019-05-05,0.00,4.9,11.8,18.7,6.8,0.28,11.70
2019-05-06,0.00,9.4,16.5,23.6,8.4,1.23,18.96
2019-05-07,8.39,8.8,17.4,25.9,11.1,0.45,20.23
2019-05-08,6.53,8.4,12.2,16.0,9.2,0.56,4.79
2019-05-09,21.93,9.0,18.5,28.0,14.8,0.11,20.47
2019-05-10,0.00,7.2,12.9,18.7,8.8,0.63,3.87
2019-05-11,0.00,6.3,11.0,15.8,4.6,0.97,9.62
2019-05-12,7.66,6.3,8.3,10.4,5.7,0.47,4.88
2019-05-13,0.62,4.7,7.8,10.9,6.1,0.07,3.66
2019-05-14,0.00,5.0,11.9,18.9,5.4,0.30,13.41
2019-05-15,0.02,9.3,15.2,21.1,8.1,0.64,15.67
2019-05-16,0.00,13.3,19.6,25.9,12.7,0.37,19.93
2019-05-17,1.35,15.3,23.5,31.7,17.1,0.64,29.02
2019-05-18,0.00,11.3,18.0,24.7,13.2,0.14,13.27
2019-05-19,8.74,15.8,22.9,30.0,16.5,1.10,24.38
2019-05-20,0.00,8.8,17.4,26.0,12.5,1.13,20.18
2019-05-21,1.56,6.9,10.4,13.9,5.3,0.65,6.67
2019-05-22,21.62,7.8,12.2,16.5,9.8,0.11,5.75
2019-05-23,16.32,14.8,21.2,27.6,17.1,0.32,19.94
2019-05-24,6.07,14.8,20.6,26.3,14.4,0.68,18.75
2019-05-25,0.00,15.5,22.9,30.3,19.2,1.22,18.60
2019-05-26,12.45,17.9,23.9,29.9,18.5,0.60,21.91
2019-05-27,0.63,15.6,20.3,25.0,16.9,0.42,11.83
2019-05-28,1.57,18.2,23.8,29.3,19.3,1.04,18.26
2019-05-29,18.29,15.0,20.6,26.1,16.9,0.21,11.08
2019-05-30,7.58,16.1,21.2,26.3,17.9,0.29,12.38
2019-05-31,18.49,15.5,20.9,26.3,16.2,0.48,16.25
2019-06-01,0.00,16.5,21.7,27.0,16.8,0.69,16.76
2019-06-02,0.00,13.6,20.9,28.3,16.0,0.24,20.40
2019-06-03,0.00,11.2,17.2,23.1,9.3,1.49,18.33
2019-06-04,0.30,14.5,20.7,26.9,10.6,3.55,24.65
2019-06-05,0.00,17.3,23.1,28.9,16.9,1.19,21.51
2019-06-06,0.00,17.5,24.3,31.2,18.6,0.77,27.38
2019-06-07,0.00,16.8,23.8,30.8,17.0,1.32,27.78
2019-06-08,0.00,15.2,22.7,30.1,13.4,2.72,29.93
2019-06-09,0.00,18.1,23.7,29.3,16.7,1.91,21.48
2019-06-10,0.00,15.5,21.6,27.8,17.4,1.17,15.83
2019-06-11,0.00,12.0,18.6,25.2,7.4,2.88,23.07
2019-06-12,0.00,15.1,21.8,28.6,7.4,5.16,30.94
2019-06-13,8.71,11.2,16.7,22.1,11.8,0.52,14.03
2019-06-14,0.00,9.3,15.2,21.1,6.2,1.87,17.07
2019-06-15,2.11,14.2,20.3,26.3,11.0,1.94,24.43
2019-06-16,14.37,16.8,20.1,23.5,18.3,0.24,5.52
2019-06-17,0.00,14.4,20.6,26.8,17.4,0.15,14.15
2019-06-18,0.00,14.8,18.3,21.8,16.6,0.14,5.52
2019-06-19,0.00,15.6,21.6,27.6,16.7,0.37,19.02
2019-06-20,57.47,13.8,19.8,25.8,17.0,0.17,12.97
2019-06-21,0.00,13.8,19.1,24.3,15.3,0.22,13.77
2019-06-22,8.21,15.4,19.5,23.6,15.2,0.21,12.52
2019-06-23,0.96,17.7,22.1,26.5,19.7,0.35,10.95
2019-06-24,0.72,19.7,23.4,27.1,20.6,0.32,10.70
2019-06-25,7.51,16.5,21.2,25.8,17.4,0.65,12.90
2019-06-26,5.22,17.3,23.4,29.6,16.9,1.02,22.96
2019-06-27,0.00,19.7,25.8,32.0,19.7,1.15,25.32
2019-06-28,0.00,20.8,26.3,31.8,20.1,1.60,24.48
2019-06-29,0.71,19.6,25.8,32.1,20.2,1.12,23.49
2019-06-30,1.83,21.7,27.7,33.8,21.7,1.21,26.71
2019-07-01,7.22,20.2,27.3,34.3,20.7,1.02,27.90
2019-07-02,0.00,22.1,27.5,33.0,21.6,1.89,25.94
2019-07-03,7.87,20.3,26.9,33.5,21.5,0.18,26.91
2019-07-04,11.08,20.2,25.9,31.6,21.3,0.06,20.08
2019-07-05,3.71,21.7,26.6,31.5,22.4,0.42,18.54
2019-07-06,5.67,21.8,26.9,31.9,22.8,0.20,20.97
2019-07-07,0.34,18.2,25.4,32.6,20.5,1.30,21.33
2019-07-08,0.00,16.8,22.2,27.6,17.0,2.26,14.89
2019-07-09,0.00,17.9,23.9,29.8,17.4,1.95,21.94
2019-07-10,3.64,20.8,25.9,31.0,19.9,0.80,22.99
2019-07-11,0.09,19.0,26.5,33.9,20.3,1.44,28.36
2019-07-12,0.00,15.8,22.6,29.4,17.5,0.54,20.45
2019-07-13,0.00,17.7,23.9,30.1,16.7,1.04,25.04
2019-07-14,0.00,21.7,27.3,32.9,20.3,2.69,25.85
2019-07-15,0.00,21.2,27.0,32.8,20.4,2.15,27.73
2019-07-16,1.51,21.6,26.1,30.5,20.1,0.67,20.34
2019-07-17,0.37,21.8,25.5,29.1,22.6,0.33,12.58
2019-07-18,0.03,22.0,27.3,32.6,22.4,0.66,23.29
2019-07-19,0.01,23.7,28.3,33.0,24.6,1.45,19.01
2019-07-20,0.00,25.2,29.7,34.3,24.8,1.85,21.77
2019-07-21,0.00,23.7,29.0,34.2,23.8,1.41,25.04
2019-07-22,0.67,18.4,23.7,29.0,19.9,1.79,12.33
2019-07-23,0.00,13.2,19.7,26.3,13.5,1.13,18.09
2019-07-24,0.00,13.8,20.7,27.7,14.1,0.43,21.79
2019-07-25,0.00,13.0,20.6,28.2,13.7,0.78,24.01
2019-07-26,0.00,15.5,22.1,28.7,14.7,0.82,24.26
2019-07-27,0.00,18.6,24.2,29.8,17.4,2.49,22.18
2019-07-28,4.46,19.6,25.2,30.8,18.6,1.46,24.00
2019-07-29,4.29,21.1,26.4,31.7,19.5,1.54,25.32
2019-07-30,4.68,17.0,23.1,29.2,19.6,0.28,17.39
2019-07-31,0.00,13.5,20.9,28.4,15.6,0.42,20.93
2019-08-01,0.00,11.6,18.9,26.3,13.3,0.43,19.40
2019-08-02,0.00,13.0,20.5,28.0,14.3,0.62,21.72
2019-08-03,0.00,14.5,22.1,29.7,15.3,1.01,24.94
2019-08-04,0.00,15.8,23.0,30.2,15.5,0.77,27.24
2019-08-05,0.00,17.5,24.6,31.7,17.9,0.55,27.19
2019-08-06,9.01,18.5,25.2,32.0,19.1,0.17,26.93
2019-08-07,0.00,16.8,23.0,29.2,18.5,0.54,18.96
2019-08-08,0.00,18.6,24.5,30.5,17.9,0.78,25.40
2019-08-09,0.00,14.0,22.6,31.2,17.6,0.52,23.97
2019-08-10,0.00,14.4,21.2,27.9,13.6,1.00,23.64
2019-08-11,0.00,15.7,22.5,29.3,15.4,0.84,24.67
2019-08-12,7.12,18.6,23.1,27.5,20.7,0.22,11.18
2019-08-13,2.27,21.1,24.5,27.9,22.7,0.15,8.96
2019-08-14,0.00,17.5,22.9,28.3,20.5,0.08,13.11
2019-08-15,0.00,16.1,22.0,27.9,17.5,0.29,17.91
2019-08-16,0.00,16.5,21.5,26.5,16.4,0.45,17.24
2019-08-17,2.74,18.5,23.7,28.8,20.0,0.24,16.37
2019-08-18,7.55,19.6,22.7,25.9,20.9,0.21,8.14
2019-08-19,0.69,18.8,24.0,29.1,20.5,0.16,16.67
2019-08-20,0.00,20.1,26.0,31.8,22.0,0.28,20.99
2019-08-21,8.69,17.2,22.5,27.7,20.0,0.13,12.93
2019-08-22,0.00,18.4,23.0,27.6,21.1,0.17,9.98
2019-08-23,0.00,13.9,20.5,27.2,15.9,0.70,17.95
2019-08-24,0.00,10.7,18.3,26.0,12.5,0.33,19.69
2019-08-25,0.00,12.5,18.7,24.8,12.4,0.23,17.79
2019-08-26,29.09,14.4,19.9,25.5,16.2,0.39,15.98
2019-08-27,5.54,18.3,22.1,25.9,20.4,0.16,8.81
2019-08-28,0.00,13.7,20.6,27.5,15.4,0.62,18.58
2019-08-29,0.00,13.0,19.4,25.8,12.7,0.65,20.06
2019-08-30,0.00,14.1,20.9,27.7,17.8,0.33,15.85
2019-08-31,0.00,12.9,18.3,23.8,13.1,1.11,13.64
2019-09-01,10.33,14.4,19.5,24.6,15.8,0.18,13.08
2019-09-02,0.82,14.6,18.9,23.2,17.6,0.06,6.54
2019-09-03,0.00,15.9,21.9,28.0,18.1,0.16,17.18
2019-09-04,6.10,14.2,21.8,29.5,19.8,0.18,13.52
2019-09-05,0.00,10.6,17.1,23.6,13.7,0.07,12.25
2019-09-06,0.00,11.9,18.0,24.1,14.5,0.16,13.87
2019-09-07,0.00,11.4,18.2,25.0,15.3,0.20,12.21
2019-09-08,9.54,13.1,19.6,26.1,15.4,0.24,18.12
2019-09-09,1.31,15.5,18.3,21.2,16.3,0.12,6.37
2019-09-10,0.00,16.6,22.8,28.9,19.7,0.56,14.94
2019-09-11,0.00,20.6,26.0,31.3,21.8,0.16,19.28
2019-09-12,0.18,20.4,25.9,31.4,21.9,0.57,18.66
2019-09-13,2.17,21.0,26.9,32.8,21.8,0.78,24.07
2019-09-14,0.00,13.0,19.6,26.2,15.3,0.49,16.19
2019-09-15,8.11,14.1,21.3,28.6,15.6,0.63,21.97
2019-09-16,12.25,16.8,22.5,28.1,19.3,0.02,14.10
2019-09-17,0.00,16.3,22.2,28.1,19.1,0.11,15.03
2019-09-18,0.00,14.9,21.5,28.1,17.9,0.14,16.17
2019-09-19,0.00,14.6,22.0,29.4,16.9,0.36,21.66
2019-09-20,14.14,16.0,23.1,30.2,17.9,0.55,23.61
2019-09-21,0.38,19.5,25.3,31.0,20.0,0.69,22.69
2019-09-22,15.37,20.9,23.8,26.8,20.2,0.84,10.87
2019-09-23,5.38,15.3,20.4,25.5,19.1,0.26,11.38
2019-09-24,0.00,12.8,18.5,24.1,12.2,0.87,17.43
2019-09-25,1.75,14.1,20.0,25.9,13.8,1.21,17.37
2019-09-26,2.03,11.7,19.5,27.3,13.7,1.16,20.02
2019-09-27,0.00,11.4,17.3,23.2,7.9,1.84,19.51
2019-09-28,46.69,15.6,20.1,24.7,17.2,0.18,11.81
2019-09-29,17.08,16.6,20.7,24.8,17.3,0.15,10.53
2019-09-30,10.29,17.7,22.1,26.5,20.2,0.00,11.22
2019-10-01,0.00,19.8,25.7,31.6,19.9,0.76,23.69
2019-10-02,0.00,21.3,26.7,32.2,20.6,1.97,22.46
2019-10-03,1.79,16.9,22.8,28.6,18.5,0.11,15.21
2019-10-04,0.00,6.4,12.9,19.4,10.0,0.39,8.64
2019-10-05,0.00,6.5,12.7,18.9,7.8,0.29,10.76
2019-10-06,5.11,8.1,14.6,21.1,11.3,0.24,13.06
2019-10-07,0.90,7.1,14.1,21.0,7.6,0.45,16.45
2019-10-08,0.00,5.8,14.2,22.6,5.9,0.36,20.16
2019-10-09,0.00,5.7,14.4,23.2,5.8,0.49,20.44
2019-10-10,0.00,7.2,15.3,23.4,8.9,0.54,19.30
2019-10-11,4.80,11.6,16.2,20.8,16.2,0.41,6.42
2019-10-12,9.67,0.3,7.5,14.7,2.4,0.30,2.29
2019-10-13,0.00,0.5,7.3,14.1,-0.2,0.47,10.70
2019-10-14,0.00,1.1,9.4,17.8,0.9,0.37,14.80
2019-10-15,0.00,2.0,9.5,16.9,2.2,0.50,12.42
2019-10-16,0.00,5.1,12.5,20.0,7.1,1.19,9.29
2019-10-17,0.00,2.5,7.3,12.1,2.2,0.51,7.02
2019-10-18,0.00,1.6,8.1,14.6,2.4,0.35,9.29
2019-10-19,0.00,2.8,10.5,18.3,4.2,0.54,12.68
2019-10-20,0.15,6.8,14.0,21.3,8.2,0.88,16.73
2019-10-21,3.04,9.1,14.4,19.6,9.9,0.41,12.01
2019-10-22,1.73,8.7,13.9,19.1,7.9,0.71,11.26
2019-10-23,0.36,2.8,8.5,14.2,1.8,1.36,8.57
2019-10-24,0.00,3.4,11.3,19.2,4.1,0.55,15.02
2019-10-25,0.00,3.9,7.0,10.2,3.4,0.31,4.80
2019-10-26,0.00,1.7,6.4,11.2,2.0,0.32,6.46
2019-10-27,63.39,3.5,6.3,9.2,6.3,0.08,1.80
2019-10-28,0.00,3.5,10.6,17.8,6.8,0.09,9.12
2019-10-29,1.70,1.7,6.0,10.2,5.6,0.09,2.72
2019-10-30,22.43,1.1,2.7,4.3,1.1,0.10,1.62
2019-10-31,14.58,-0.8,1.7,4.2,1.7,0.00,0.36
2019-11-01,4.22,-5.2,-2.6,-0.0,-3.8,0.17,1.20
2019-11-02,0.25,-4.4,2.0,8.4,-0.5,0.14,5.35
2019-11-03,0.00,-1.2,3.6,8.4,-1.1,0.32,5.24
2019-11-04,0.00,0.9,7.1,13.3,0.5,0.98,9.30
2019-11-05,0.00,-0.1,5.8,11.8,1.8,0.45,6.07
2019-11-06,0.00,-1.4,3.4,8.3,-1.9,0.27,6.12
2019-11-07,0.00,-1.9,5.7,13.4,-0.1,0.51,8.61
2019-11-08,0.00,-9.7,-4.2,1.3,-10.4,0.48,4.17
2019-11-09,0.00,-9.2,-4.3,0.6,-10.2,0.48,4.07
2019-11-10,0.00,-1.4,5.0,11.4,-1.3,0.60,7.78
2019-11-11,0.11,-0.8,5.1,11.0,1.4,0.31,5.89
2019-11-12,4.62,-14.4,-7.6,-0.8,-10.7,0.26,1.24
2019-11-13,0.00,-14.5,-10.8,-7.0,-16.9,0.45,2.11
2019-11-14,0.00,-11.1,-6.5,-1.9,-9.5,0.63,2.30
2019-11-15,0.00,-8.8,-4.2,0.4,-6.2,0.26,2.01
2019-11-16,0.00,-7.5,-0.7,6.1,-3.9,0.17,4.10
2019-11-17,0.00,-5.3,0.6,6.5,-2.3,0.14,3.92
2019-11-18,1.46,-1.4,2.3,6.0,1.1,0.18,2.69
2019-11-19,0.08,-0.0,2.1,4.2,0.7,0.15,1.86
2019-11-20,1.47,-1.1,1.7,4.4,1.7,0.06,0.65
2019-11-21,7.32,-0.7,4.7,10.1,4.1,0.06,3.90
2019-11-22,0.00,-1.1,6.0,13.2,4.4,0.23,2.59
2019-11-23,0.00,-4.1,-0.2,3.6,-3.0,0.11,2.83
2019-11-24,0.49,-1.2,1.7,4.7,-1.3,0.32,3.14
2019-11-25,0.00,-0.5,5.9,12.2,1.8,0.28,6.86
2019-11-26,0.00,-1.5,6.6,14.6,2.4,0.08,7.83
2019-11-27,6.90,-0.4,6.6,13.6,6.6,0.11,4.80
2019-11-28,0.00,-0.0,2.8,5.6,-1.7,1.19,2.53
2019-11-29,0.62,-0.1,1.0,2.1,-1.8,0.38,2.23
2019-11-30,12.64,0.9,2.5,4.1,1.5,0.11,1.61
2019-12-01,2.66,1.9,5.1,8.4,4.0,0.04,1.96
2019-12-02,1.67,-1.6,1.2,4.0,-0.1,0.08,1.36
2019-12-03,0.00,-2.4,-1.0,0.4,-3.1,0.29,1.36
2019-12-04,0.00,-1.6,1.7,5.0,-1.2,0.43,2.72
2019-12-05,0.00,-3.7,2.3,8.3,-1.3,0.14,4.89
2019-12-06,0.00,-3.4,4.0,11.4,1.6,0.18,6.02
2019-12-07,0.00,-6.1,-0.8,4.6,-4.0,0.20,3.42
2019-12-08,0.00,-4.9,0.5,6.0,-2.6,0.30,4.16
2019-12-09,0.88,1.3,5.5,9.7,5.4,0.16,2.74
2019-12-10,0.00,-9.8,-0.3,9.1,-1.3,0.13,1.40
2019-12-11,0.35,-10.1,-6.5,-3.0,-12.3,0.44,2.66
2019-12-12,0.00,-9.3,-5.5,-1.7,-8.3,0.27,2.10
2019-12-13,0.00,-3.9,2.1,8.2,-2.5,0.58,5.70
2019-12-14,0.00,-1.4,3.9,9.2,-1.3,0.26,6.28
2019-12-15,0.00,-9.1,-4.1,0.8,-5.4,0.20,1.46
2019-12-16,4.49,-8.9,-6.3,-3.8,-7.2,0.16,1.24
2019-12-17,0.00,-10.0,-5.7,-1.4,-5.7,0.08,1.01
2019-12-18,0.00,-11.6,-7.5,-3.4,-7.5,0.11,0.80
2019-12-19,0.00,-13.2,-9.3,-5.3,-14.0,0.26,2.12
2019-12-20,0.00,-9.5,-3.9,1.6,-5.8,0.15,2.20
2019-12-21,0.00,-7.2,-1.6,4.1,-2.6,0.17,2.23
2019-12-22,0.00,-3.5,2.2,7.9,-1.8,0.36,4.32
2019-12-23,0.00,-1.9,4.6,11.1,-0.1,0.29,6.09
2019-12-24,0.00,-1.6,5.2,12.0,1.1,0.08,6.53
2019-12-25,0.00,-2.2,6.0,14.2,3.5,0.01,6.45
2019-12-26,0.00,2.7,9.6,16.6,7.7,0.55,7.53
2019-12-27,0.00,1.7,9.5,17.3,6.7,0.28,6.64
2019-12-28,0.00,-0.4,2.1,4.5,-0.6,0.25,2.64
2019-12-29,15.93,1.4,8.1,14.8,8.2,0.06,1.20
2019-12-30,4.14,0.7,6.9,13.1,6.4,0.09,2.08
2019-12-31,0.00,-1.6,-0.2,1.1,-3.8,0.43,1.77
2020-01-01,0.00,-4.7,-1.8,1.2,-3.9,0.20,1.94
2020-01-02,0.00,-4.7,1.5,7.8,-1.8,0.28,4.60
2020-01-03,0.00,1.1,5.2,9.4,2.9,0.04,3.55
2020-01-04,1.05,-0.4,1.4,3.2,-0.1,0.07,1.38
2020-01-05,0.00,-5.2,-2.2,0.7,-3.3,0.09,1.29
2020-01-06,0.00,-4.0,2.2,8.4,-2.4,0.31,4.73
2020-01-07,0.00,-5.1,-0.1,5.0,-4.8,0.33,4.71
